author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
242965727,2021-01-14 23:59:01+00:00, ,1349868655115427843,en,0,0,0,0,Clickasnap,"This huge boat has been turned into a restaurant, on th  #Building #Water #Waterfront #Hotel #Housing #River #Yangtse #YangtseRiver #Restaurant #Floatingrestaurant #Boat #Greenery #YellowRiver #Houseboat #Chongqing #China https://t.co/UE72xN465I"
1087574742637326336,2021-01-14 23:57:00+00:00, ,1349868148359536643,en,0,0,0,0,Twitter for iPhone,"US-China trade war deal reaches first anniversary as bilateral mistrust hits ‘all-time high’, reports ⁦@cissy_chow⁩ #china #China #tradewar #tradedeal #trade #UnitedStates #US  https://t.co/BNMJh6bmeT"
1211950858746785793,2021-01-14 23:56:08+00:00, ,1349867929563631616,en,4,0,0,0,Twitter for iPhone,"#AmazingChina In the Swan Bay of the Kaidu River, northwest #China's #Xinjiang Uygur Autonomous Region, all things wear jade and silver, the green branches of the weeping willows turn into iced branches, and the #swans dance on the lake. https://t.co/47hIRjhfrn"
1258471176671768576,2021-01-14 23:55:19+00:00, ,1349867726559469571,en,67,5,9,36,Twitter for Android,"#Biden was not elected, he was selected!

Selected by #foreign gov't payoffs like #China &amp; #Ukraine...

Selected by crooked lobbyists for favors to be named later...

Selected by #corrupt politicians who'll control him &amp; return to the status quo of screwing the #American people!"
328484686,2021-01-14 23:52:38+00:00, ,1349867050987122696,en,0,0,0,0,ChinaMoneyNetwork.com,Chinese L4 Autonomous Driving Firm WeRide Secures $310M For Series B https://t.co/UzOKEE2wWP #China #VC #investment #PrivateEquity
1143466394748690432,2021-01-14 23:51:19+00:00, ,1349866718047461382,en,33,0,2,12,Twitter for Android,"The @UKLabour party are vacant on policy ideas and support which is why they exploit a worldwide virus to attack the Government, they did it with Brexit to hide how hopeless they are!

BLAME #CHINA!

Oh, by the way...

3 MILLION UK VACCINES 🇬🇧

@Conservatives @10DowningStreet"
1119194293586092032,2021-01-14 23:50:14+00:00, ,1349866443215695877,en,0,0,0,0,Revue,🔥 Hot off the press: “#Megvii prepares for STAR Market #IPO; #WeRide raises $310 ” https://t.co/H1s7BvyDoM #AsiaAI #China #Huawei #STARMarket #artificialintelligence #AI #smartcities #Asia
1228766730526347264,2021-01-14 23:49:54+00:00, ,1349866362299158528,en,0,0,0,0,Twitter Web App,"#Chinese City Prepares for a Dire COVID 19 Surge During Lunar New Year | ... 
#China #COVID19
https://t.co/yG1Ug1CjoW"
3336187583,2021-01-14 23:49:10+00:00, ,1349866177586147332,en,3,0,0,0,Twitter Web App,"ASSIGNMENTS,ONLINE CLASSES &amp; ESSAYS HELP

#homeworkhelp #essayhelp #essays #onlineclass #assignments #exams #assignmenthelp 
#homework
#essay pay
#essay due
#homework
#term  #fotograf 

#USA #uk #UAE #Canada #Australia #kuwait #Malaysia #China"
