author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1049641539062980608,2020-01-15 23:40:45+00:00, ,1217592488032186373,en,0,0,0,0,Twitter for Android,"#China to buy #RareEarths from U.S. as part of trade pact

China has agreed to buy two types of rare earth metals from the United States as part of an initial trade deal, a move likely to boost U.S. production of the strategic #minerals.

#TrdDiary #USChinaTradeDeal https://t.co/Wz3SXQ9W34"
1171092385285246977,2020-01-15 23:40:41+00:00, ,1217592470839709698,en,0,0,0,0,Twitter Web App,"''Kenneth Roth, predicts that, should this continue, China will eventually bring forth a dystopian society which they can fence and control.''

#china #humanrights #uighursmuslims #culturetribe 

https://t.co/K7qZCdTgwO"
292691834,2020-01-15 23:40:04+00:00, ,1217592316682297346,en,2,0,0,2,Hootsuite Inc.,#Bipartisan senators introduced legislation to create alternatives to #China firm #Huawei in the rollout of #5G technology. Read more @thehill https://t.co/Z8OSV8Dn6f
223269129,2020-01-15 23:40:03+00:00, ,1217592312416456704,en,0,0,0,0,Twitter Web App,U.S. and China Sign Phase One Trade Deal : https://t.co/Ytw8dALCxB. #tradewar #China #tariffs @USTradeRep https://t.co/0mfZBjG3KQ
1182409451908653057,2020-01-15 23:39:44+00:00, ,1217592233148461056,en,2,0,0,0,Blog2Social APP,"Anti-Dumping duty on a Chinese Ciprofloxacin
New Delhi: The government may impose anti-dumping duty on a Chinese Ciprofloxacin Hydrochloride used to treat different kind of bacterial
 #Antidumpingduty #Boneinfection #China #CiprofloxacinHydrochlorideBacte https://t.co/MNaxtDAMeo"
1152580727541817349,2020-01-15 23:38:58+00:00, ,1217592038511857667,en,9,0,0,0,Hootsuite Inc.,"Phase One #China trade deal and possible USMCA deal with #Canada and #Mexico are all 2020 tailwinds, Dallas Fed's Robert S. Kaplan told #ECNY today. But major challenges to GDP growth loom large on the horizon. https://t.co/e42OLpJJc4 https://t.co/5M5kGT3Vk6"
29183527,2020-01-15 23:38:38+00:00, ,1217591956588716032,en,1,0,0,0,Twitter Web Client,"The contrast could not have been greater : House voting to send articles of impeachment to the Senate, &amp; their target, President Donald Trump, holding an ebullient event to sign a US-#China Phase One agreement packed, it appears, with concessions by China.
https://t.co/iP2coReluC"
29183527,2020-01-15 23:36:57+00:00, ,1217591529671401478,en,2,0,0,0,Twitter Web Client,Phase One at best an interim deal with #China - but a win for Trump https://t.co/iP2coReluC
843466579929108480,2020-01-15 23:35:44+00:00, ,1217591224506429441,en,0,0,0,1,Twitter for iPhone,Decoupling - the other way....... #Huawei Manages to Make Smartphones Without American Chips ⁦@WSJ⁩ #china  https://t.co/1FXafGskt6
451576203,2020-01-15 23:35:02+00:00, ,1217591050098954241,en,0,0,0,0,Paper.li,The latest Human Rights Watch To Go! https://t.co/m7lMmyzXOY #humanrights #china
